NORAD_ID,Int_Designator,Epoch_Day,First_Derivative,Second_Derivative,BSTAR,Inclination,RAAN,Eccentricity,Argument_of_Perigee,Mean_Anomaly,Mean_Motion,Revolution_Number,Name,Group
11,59001A,112.72774939,3.486e-05,0.0,183.76,32.8675,235.607,0.1448198,185.423,172.8943,11.89649423,48536,Unknown,Unknown
12,59001B,112.7854378,6.8e-06,0.0,40.396,32.8977,265.9581,0.1650418,40.0365,331.0888,11.47687781,48299,Unknown,Unknown
20,59007A,112.6552859,1.003e-05,0.0,39.474,33.3527,339.5468,0.1644458,321.1785,28.1205,11.60593388,43571,Unknown,Unknown
22,59009A,112.90531949,0.00011666,0.0,51.69,50.278,0.1687,0.0093302,244.2554,114.8749,15.18155468,73628,Unknown,Unknown
29,60002B,112.66689469,1.492e-05,0.0,23.342,48.3783,221.8194,0.0023118,258.1524,101.6796,14.77903563,47991,Unknown,Unknown
45,60007A,112.76107375,7.85e-06,0.0,22.109,66.6955,31.8476,0.0242716,106.5384,256.2529,14.35490322,31969,Unknown,Unknown
50,60009B,112.80536797,-3.9e-07,0.0,43.086,47.234,26.5589,0.0113078,202.1464,157.4416,12.20154643,88637,Unknown,Unknown
51,60009C,112.84285379,-9.1e-07,0.0,-4.7705,47.2119,270.0393,0.0107512,27.6807,332.9651,12.18358603,87992,Unknown,Unknown
53,60009E,112.70161805,6.8e-07,0.0,149.3,47.2761,199.3883,0.0099625,271.9808,86.9574,12.17380789,88420,Unknown,Unknown
85,61004C,112.93407091,0.0040986,0.0,1066.9,38.6563,59.7266,0.0051631,95.5455,265.1219,15.35162871,18641,Unknown,Unknown
115,60002D,112.72953804,4.604e-05,0.0,43.86,48.1639,3.8867,0.002779,167.932,192.2269,14.94663115,45516,Unknown,Unknown
117,61015B,112.93414649,4.2e-07,0.0,9.3562,66.8123,309.6193,0.0083074,234.876,124.4513,13.90127876,23564,Unknown,Unknown
118,61015C,112.94719348,1.95e-06,0.0,17.255,66.7657,28.6696,0.0085303,212.3355,147.2486,14.0254543,25720,Unknown,Unknown
119,61015D,112.75975089,1.247e-05,0.0,52.117,66.7281,41.7128,0.0103654,208.7862,150.7492,14.2652574,29833,Unknown,Unknown
120,61015E,112.94267349,2.008e-05,0.0,76.913,66.7045,89.3534,0.0118619,307.3155,51.7178,14.28817361,28827,Unknown,Unknown
121,61015F,112.95100656,6.7e-07,0.0,9.4923,66.7497,6.0841,0.0099467,296.9259,62.1688,14.00132959,26753,Unknown,Unknown
123,61015H,112.951959,1.28e-05,0.0,39.661,66.6841,108.2842,0.0113851,221.3394,137.9052,14.40855518,31897,Unknown,Unknown
124,61015J,112.86918708,1.205e-05,0.0,44.299,66.5436,279.8953,0.006431,60.7931,299.958,14.34946879,29860,Unknown,Unknown
127,61015M,112.83869682,3.408e-05,0.0,93.906,66.8317,350.8764,0.0069787,327.1239,32.5536,14.46632197,30601,Unknown,Unknown
131,61015R,112.83818639,4.23e-06,0.0,32.223,66.7347,71.5119,0.0080984,357.3457,2.7185,14.0158254,24455,Unknown,Unknown
134,61015U,112.95912668,2.27e-06,0.0,21.061,66.8824,1.2993,0.0076593,138.2018,222.495,13.97588474,24697,Unknown,Unknown
136,61015W,112.87686189,3.464e-05,0.0,110.14,67.5293,282.7952,0.0043771,53.5491,306.9641,14.40398023,29619,Unknown,Unknown
138,61015Y,112.83912883,9.28e-06,0.0,63.144,67.1553,56.5233,0.0024248,85.6204,274.7654,14.04164979,24380,Unknown,Unknown
147,61015AH,112.69577233,1.904e-05,0.0,86.412,66.62,13.0598,0.0052723,3.1952,356.9468,14.23295798,27460,Unknown,Unknown
150,61015AL,112.67529657,4.13e-06,0.0,44.231,66.2479,220.1903,0.0052974,146.5709,213.8724,13.83394899,5032,Unknown,Unknown
159,61015AV,112.96092467,2.69e-06,0.0,77.139,65.5245,83.7643,0.0374906,317.837,39.4363,13.02873674,2610,Unknown,Unknown
172,61015AY,112.83917246,6.14e-06,0.0,87.61,67.0687,50.3467,0.0135002,0.382,359.7323,13.5892683,14799,Unknown,Unknown
192,61028A,112.84932417,-2e-08,0.0,80.917,95.8371,135.3452,0.0136839,19.7311,340.8769,8.67772527,1169,Unknown,Unknown
204,61031C,112.8934341,9e-07,0.0,8.0872,32.4439,7.4027,0.0098361,352.613,7.3043,13.65042558,16556,Unknown,Unknown
205,61031B,112.97459097,7.3e-07,0.0,6.4759,32.4395,98.5588,0.0101889,27.514,333.0829,13.62543415,16172,Unknown,Unknown
223,61015BK,112.84052319,5e-07,0.0,10.129,66.8899,261.1287,0.0074651,265.4003,93.8546,13.88949034,23249,Unknown,Unknown
225,61015BM,112.85216732,4.009e-05,0.0,130.12,66.7975,276.6653,0.0099983,177.4219,182.7421,14.37052137,29730,Unknown,Unknown
227,62002B,112.95390349,6.64e-06,0.0,23.89,48.1465,77.3534,0.0127568,127.625,233.6302,14.40304241,28371,Unknown,Unknown
235,61015BT,112.77812417,5.85e-06,0.0,32.453,66.9556,246.3385,0.0168016,290.7422,67.5734,14.10893534,26201,Unknown,Unknown
245,61015CA,112.66845062,1.103e-05,0.0,58.254,66.1043,195.6775,0.0039961,82.9129,277.6499,14.1739224,26826,Unknown,Unknown
252,61015CD,112.95537389,4.66e-06,0.0,53.509,67.0764,98.8196,0.0049417,156.2465,234.998,13.7751906,19344,Unknown,Unknown
254,61015CF,112.95811773,3.452e-05,0.0,88.24,66.7752,334.1015,0.0059663,33.4049,327.0801,14.50583851,31268,Unknown,Unknown
260,61015CG,112.79347779,4.057e-05,0.0,124.21,66.7679,241.6119,0.0038416,70.3959,290.1286,14.42281973,29567,Unknown,Unknown
261,61015CH,112.73615429,2.32e-06,0.0,20.028,66.6833,21.6077,0.0095422,263.7722,95.2485,14.00847505,25319,Unknown,Unknown
264,61015CL,112.77955436,4.625e-05,0.0,158.91,66.5247,274.1822,0.0029691,311.8911,47.9656,14.36664424,27321,Unknown,Unknown
268,61015CN,112.8482581,3.11e-06,0.0,106.68,67.9382,257.4917,0.0646105,90.3531,55.3618,12.51462531,90065,Unknown,Unknown
271,62010A,112.79208701,-1.3e-07,0.0,-352.26,86.6779,16.9268,0.0327559,185.867,173.8346,9.41307131,16611,Unknown,Unknown
274,62010D,112.72497067,-4.6e-07,0.0,-1003.8,86.6701,34.406,0.0353545,323.2049,34.5057,9.39391192,16130,Unknown,Unknown
309,62025A,112.93817716,1.308e-05,0.0,24.566,58.0904,323.8032,0.0189352,48.0619,313.6376,14.5994052,32044,Unknown,Unknown
320,61015CW,112.85085285,1.179e-05,0.0,45.059,66.9059,55.2901,0.013651,344.0019,15.6788,14.29148373,30828,Unknown,Unknown
323,61015CZ,112.92386264,1.129e-05,0.0,59.909,66.8376,88.1118,0.0073893,31.0996,329.4438,14.15821112,26896,Unknown,Unknown
324,61015DA,112.72340903,7.55e-06,0.0,43.869,66.8666,13.6029,0.0070848,333.6068,26.1419,14.12807809,26366,Unknown,Unknown
325,61015DB,112.96165694,2.009e-05,0.0,92.39,66.9134,100.3084,0.0060548,343.1013,16.8064,14.2219454,27338,Unknown,Unknown
327,61015DD,112.94901703,3.1e-06,0.0,29.658,66.5442,344.7939,0.0107784,42.1458,318.7843,13.90652576,22830,Unknown,Unknown
330,61015DG,112.86785998,1.438e-05,0.0,91.694,66.9788,269.3185,0.0044131,69.7642,290.8183,14.05926734,23760,Unknown,Unknown
