NORAD_ID,Int_Designator,Epoch_Day,First_Derivative,Second_Derivative,BSTAR,Inclination,RAAN,Eccentricity,Argument_of_Perigee,Mean_Anomaly,Mean_Motion,Revolution_Number,Name,Group
10001,77034B,121.8715578,-1.11e-06,0.0,0.0,9.7338,302.8589,0.0035359,147.113,15.6606,0.95426756,11358,Unknown,Unknown
10089,77047D,121.42750384,-5.71e-06,0.0,0.0,66.4843,121.0068,0.5809586,311.3665,11.4587,1.99326601,25229,SL-6 R/B(2),Gpz Plus
10091,77053A,121.52549942,-1.6e-07,0.0,0.0,63.3738,294.1529,0.0066551,227.0188,97.2389,2.00449386,35042,Unknown,Unknown
10143,77065A,121.70792583,-1.06e-06,0.0,0.0,7.5033,296.0469,0.0016119,230.577,134.5849,0.99252781,11712,Unknown,Unknown
10220,77065AX,120.72685256,6.685e-05,0.0,210.35,29.1384,263.5088,0.0384727,332.2666,25.7874,14.04183542,33732,Unknown,Unknown
10251,77065CC,121.04451867,4.675e-05,0.0,63.785,28.9712,256.0811,0.0678117,88.5107,279.2976,13.82936985,36009,Unknown,Unknown
10289,77079E,121.92202287,-2e-08,0.0,8.7673,74.0261,59.2029,0.0007059,109.4756,321.0333,12.52090685,17981,Unknown,Unknown
10291,77079G,121.89628624,1e-08,0.0,11.405,74.0234,268.0674,0.0018043,154.6368,322.0471,12.47242422,17138,Unknown,Unknown
10294,77080A,121.82041215,-1.04e-06,0.0,0.0,8.1458,302.382,0.0007602,149.5343,137.9966,1.00273642,11379,SIRIO,Gpz Plus
10338,77065DM,121.8002588,3.195e-05,0.0,59.715,29.0619,37.0683,0.0626642,156.5173,206.5347,13.8180006,35636,Unknown,Unknown
10365,77092A,121.89311422,7.8e-07,0.0,0.0,5.2914,280.162,0.003525,9.5826,305.3246,1.0029911,13082,EKRAN 2,Gpz Plus
10393,74089EJ,121.67638324,3.7e-07,0.0,68.445,101.5766,79.764,0.0157753,327.8101,215.9505,12.24090165,25990,Unknown,Unknown
10411,76067E,121.77182565,-4.5e-07,0.0,2.9451,66.0191,121.3422,0.0653943,64.9845,102.9755,12.29191739,19070,Unknown,Unknown
10414,76067H,121.8364785,-1.37e-06,0.0,-44.164,65.8772,263.1667,0.0632899,218.1402,301.0847,12.18419976,17251,Unknown,Unknown
10444,76067V,120.31043787,1.8e-07,0.0,17.634,65.7952,179.1343,0.0741777,17.8903,344.6775,12.51538527,22762,Unknown,Unknown
10449,76067AA,121.61311953,-5.2e-07,0.0,0.91348,66.0334,72.5303,0.0754824,164.3501,198.2292,12.45552188,21933,Unknown,Unknown
10457,77106A,121.88048757,1.3e-06,0.0,19.146,89.645,86.631,0.0027196,119.7703,302.3476,13.48905571,33734,TRANSAT,Nnss
10464,76067AH,121.90850553,2.5e-07,0.0,22.553,65.8309,299.3323,0.0713064,22.464,120.1505,12.46742824,21615,Unknown,Unknown
